can,ky_thi,mon,cau,so_y,link,dap_an_1,dap_an_2,tieu_de,sao,chu_de,id
sao + đáp án,R08上,理論,問1,1,https://denken-ou.com/rironr8-1-1/,,,コンデンサの電極間距離を2倍にしたときの特性変化に関する計算問題,2,電磁気（静電界）,riron:rironr8-1-1
sao + đáp án,R08上,理論,問2,1,https://denken-ou.com/rironr8-1-2/,,,点電荷がつくる電位差に関する計算問題,2,電磁気（静電界）,riron:rironr8-1-2
sao + đáp án,R08上,理論,問3,1,https://denken-ou.com/rironr8-1-3/,,,コイルの磁束鎖交数とコイルに蓄えられる磁気エネルギーに関する計算問題,2,電磁気（磁気、電磁力）,riron:rironr8-1-3
sao + đáp án,R08上,理論,問4,1,https://denken-ou.com/rironr8-1-4/,,,点磁荷による真空中の磁界の大きさに関する計算問題,1,電磁気（磁気、電磁力）,riron:rironr8-1-4
sao + đáp án,R08上,理論,問5,1,https://denken-ou.com/rironr8-1-5/,,,抵抗が直並列された回路の消費電力に関する計算問題,2,電気回路（直流回路）,riron:rironr8-1-5
sao + đáp án,R08上,理論,問6,1,https://denken-ou.com/rironr8-1-6/,,,直並列したコンデンサの電荷の動きに関する計算問題,2,電気回路（直流回路）,riron:rironr8-1-6
sao + đáp án,R08上,理論,問7,1,https://denken-ou.com/rironr8-1-7/,,,キルヒホッフの法則を用いた立式に関する計算問題,2,電気回路（直流回路）,riron:rironr8-1-7
sao + đáp án,R08上,理論,問8,1,https://denken-ou.com/rironr8-1-8/,,,電源電圧と回路の消費電力の導出に関する計算問題,1,電気回路（直流回路）,riron:rironr8-1-8
sao + đáp án,R08上,理論,問9,1,https://denken-ou.com/rironr8-1-9/,,,不平衡負荷を接続した単相3線式回路の電流値の比較に関する計算問題,4,電気回路（単相交流）,riron:rironr8-1-9
sao + đáp án,R08上,理論,問10,1,https://denken-ou.com/rironr8-1-10/,,,RL直列回路の電圧電流特性に関する論説問題,4,電気回路（単相交流）,riron:rironr8-1-10
