id,ky_thi,mon,cau,ten_bai,dap_an
riron:rironr7-2-1,R07下,riron,問1,誘電体挿入量を変化させたコンデンサの静電容量の比に関する計算問題,
riron:rironr7-2-2,R07下,riron,問2,電荷に加わる力からの未知の電荷量の導出に関する計算問題,
riron:rironr7-2-17,R07下,riron,問17,誘電体を挿入した平行平板コンデンサの特性に関する計算問題,
riron:rironr7-1-1,R07上,riron,問1,２つのコンデンサに蓄えられる静電エネルギーに関する計算問題,
riron:rironr7-1-2,R07上,riron,問2,絶縁体の液体で満たしたときの球状導体の特性の変化に関する論説問題,
riron:rironr7-1-17,R07上,riron,問17,導体球間に加わる力及び力が釣り合う位置の導出に関する計算問題,
riron:rironr6-2-1,R06下,riron,問1,２種類の誘電体を挿入したコンデンサに蓄えられる電荷に関する計算問題,
riron:rironr6-2-2,R06下,riron,問2,地球を導体球と見なしたときの静電容量に関する計算問題,
riron:rironr6-2-17,R06下,riron,問17,電極間隔を変化させたときのコンデンサの特性に関する計算問題,
riron:rironr6-1-1,R06上,riron,問1,誘電体を挿入した平行平板コンデンサ内の等電位線の分布に関する計算問題,
riron:rironr6-1-2,R06上,riron,問2,空気中の導体球に帯電できる電荷量に関する計算問題,
riron:rironr5-2-1,R05下,riron,問1,平行平板コンデンサの特性に関する論説問題,
riron:rironr5-2-2,R05下,riron,問2,帯電した導体球に働く力に関する計算問題,
riron:rironr5-1-1,R05上,riron,問1,平行平板コンデンサの電界、電束密度、電荷に関する計算問題,
riron:rironr5-1-2,R05上,riron,問2,静電界における電気力線の特徴に関する論説問題,
riron:rironr5-1-17,R05上,riron,問17,誘電体を挿入した平行平板コンデンサの特性に関する計算問題,
riron:rironr4-2-1,R4下,riron,問1,電気力線の特徴からの電気量の導出に関する計算問題,
riron:rironr4-2-2,R4下,riron,問2,平行平板コンデンサ内の電気力線の特徴と導体球の電位に関する計算問題,
riron:rironr4-2-17,R4下,riron,問17,導体球間に加わる力及び力が釣り合う位置の導出に関する計算問題,
riron:rironr4-1-1,R4上,riron,問1,平行板コンデンサの特性と各パラメータの関係に関する論説問題,
riron:rironr4-1-2,R4上,riron,問2,クーロンの法則による点電荷に加わる力の導出に関する計算問題,
